Game #,Date,Team,Opponent,H/A,Competition,GF,GA,Result,Score,Game Length,1st Half Min,2nd Half Min,Total Min,% of Game,Started?,Goals,Assists,Shots,Shots on Target,Key Passes,Passes Att.,Passes Comp.,Pass %,Tackles Won,Interceptions,Duels Won,Duels Lost,Duel %,Fouls Comm.,Fouls Drawn,Yellow,Red,Rating (1-10),Notes
1,2026-02-21,Academia CAI,Cyclones,Home,Kids Cup,1,0,W,1 - 0,50,19,13,32,0.6400,Y,0,0,3,2,4,62,54,0.8710,5,3,8,4,0.6667,2,3,1,0,8,Goleador: Emilio
2,2026-03-01,Academia CAI,Academia Suarez,,Kids Cup,0,5,L,0 - 5,50,25,8,33,0.6600,Y,0,0,,,,,,,,,,,,,,,,,Goleador:
3,2026-03-07,Academia CAI,Elite Rokas,,Kids Cup,3,1,W,3 - 1,50,10,3,13,0.2600,Y,0,0,,,,,,,,,,,,,,,,,Goleador: Izquierdo_Izquierdo_Joseph
4,2026-03-08,Academia CAI,Nuevo Chorrillo,,Kids Cup,1,1,D,1 - 1,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
5,2026-03-15,Academia CAI,Bagoso Blanco Elite,,Kids Cup,0,7,L,0 - 7,50,25,20,45,0.9000,Y,0,0,,,,,,,,,,,,,,,,,
6,2026-03-19,St Marys Gators,Balboa Academy,,Amistoso,1,3,L,1 - 3,60,30,30,60,1.0000,Y,0,0,,,,,,,,,,,,,,,,,Goleador: Mateo_Diego
7,2026-03-21,Academia CAI,Atletico de Madrid,,Golden League,0,5,L,0 - 5,50,22,5,27,0.5400,Y,0,0,,,,,,,,,,,,,,,,,
8,2026-03-22,St Marys Gators,Academia Magen David,,Boys Champions,2,1,W,2 - 1,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,Goleador: Daniel Cardenas_Francesco
9,2026-03-24,St Marys Gators,Casco School,,Amistoso,5,4,W,5 - 4,40,25,15,40,1.0000,Y,1,0,,,,,,,,,,,,,,,,,
10,2026-03-28,Academia CAI,Plaza Amador A,,Golden League,1,2,L,1 - 2,50,6,25,31,0.6200,N,0,0,,,,,,,,,,,,,,,,,Goleador: Emilio
11,2026-03-29,Academia CAI,Universitario,,Kids Cup,0,1,L,0 - 1,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
12,2026-03-31,St Marys Gators,Colegio Javier,,Amistoso,0,4,L,0 - 4,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
13,2026-04-11,Academia CAI,FCC,,Golden League,2,0,W,2 - 0,50,17,10,27,0.5400,Y,0,0,,,,,,,,,,,,,,,,,
14,2026-04-12,St Marys Gators,Legends AHP,,Boys Champions,2,2,D,2 - 2,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
15,2026-04-12,Academia CAI,New West,,Kids Cup,1,2,L,1 - 2,50,22,0,22,0.4400,Y,0,0,,,,,,,,,,,,,,,,,
16,2026-04-18,Academia CAI,Plaza Amador,,Golden League,0,1,L,0 - 1,50,25,17,42,0.8400,Y,0,0,,,,,,,,,,,,,,,,,
17,2026-04-25,Academia CAI,Atletico Panama Viejo,,Golden League,0,1,L,0 - 1,50,15,9,24,0.4800,N,0,0,,,,,,,,,,,,,,,,,
18,2026-04-26,St Marys Gators,Instituto Bolivar,,Boys Champions,3,2,W,3 - 2,50,25,25,50,1.0000,Y,0,1,,,,,,,,,,,,,,,,,
19,2026-05-02,Academia CAI,Suarez Academy,,Golden League,0,2,L,0 - 2,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
20,2026-05-10,Academia CAI,Plaza Amador 2013,,Golden League,0,2,L,0 - 2,50,25,16,41,0.8200,Y,0,0,,,,,,,,,,,,,,,,,
21,2026-05-16,Academia CAI,Tenerife,,Golden League,0,2,L,0 - 2,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
22,2026-05-17,St Marys Gators,Colegio La Salle,,Boys Champions,5,0,W,5 - 0,50,25,19,44,0.8800,Y,0,0,,,,,,,,,,,,,,,,,
23,2026-05-24,St Marys Gators,Magen David,,Boys Champions,2,1,W,2 - 1,45,25,20,45,1.0000,Y,1,0,,,,,,,,,,,,,,,,,
24,2026-06-06,Academia CAI,ACD Plaza 2,,Golden League,4,2,W,4 - 2,50,25,13,38,0.7600,Y,0,0,,,,,,,,,,,,,,,,,
25,2026-06-14,St Marys Gators,Legends AHP,,Boys Champions,2,1,W,2 - 1,45,25,18,43,0.9556,Y,0,0,,,,,,,,,,,,,,,,,
26,2026-07-05,Academia CAI,Wolves,,Futpa,1,3,L,1 - 3,50,22,15,37,0.7400,Y,0,0,,,,,,,,,,,,,,,,,
27,2026-07-11,Academia CAI,Costa del Este,,Futpa,3,2,W,3 - 2,50,25,12,37,0.7400,Y,0,0,,,,,,,,,,,,,,,,,
28,2026-08-02,Academia CAI,Juventus,,Futpa,2,0,W,2 - 0,50,15,20,35,0.7000,Y,0,0,,,,,,,,,,,,,,,,,
29,2026-08-06,St Marys Gators,Instituto Enrico Fermi,,Amistoso,0,1,L,0 - 1,40,20,20,40,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
30,2026-08-08,Academia CAI,Costa del Este,,Futpa,0,2,L,0 - 2,50,25,25,50,1.0000,Y,0,0,,,,,,,,,,,,,,,,,
31,2026-08-08,Academia CAI,Panama City,,Futpa,0,2,L,0 - 2,50,25,16,41,0.8200,Y,0,0,,,,,,,,,,,,,,,,,
32,2026-08-09,Academia CAI,CAI Vikingos,,Futpa,6,0,W,6 - 0,50,25,15,40,0.8000,Y,1,2,,,,,,,,,,,,,,,,,
33,2026-08-15,Academia CAI,Wolves,,Futpa,5,1,W,5 - 1,50,25,5,30,0.6000,Y,0,1,,,,,,,,,,,,,,,,,
34,2026-08-15,Academia CAI,San Francisco,,Futpa,0,5,L,0 - 5,50,25,17,42,0.8400,Y,0,0,,,,,,,,,,,,,,,,,
35,2026-08-22,Academia CAI,Union Atlético Oeste,Home,Futpa,2,0,W,2 - 0,50,25,23,48,0.9600,Y,0,0,0,0,2,12,9,0.7500,3,12,3,1,0.7500,1,0,0,0,8,Salió 2 minutos para descanso. Acaba de salir de un resfriado
36,2026-08-22,Academia CAI,Plaza Amador,Home,LPP,0,1,L,0 - 1,50,22,2,24,0.4800,Y,0,0,0,0,0,2,2,1.0000,1,3,1,0,1.0000,0,0,0,0,7,
